"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	20	203709	9.8
	"Blount County, AL"	"01009"	12	57673	Unreliable
	"Jefferson County, AL"	"01073"	142	660367	21.5
	"Mobile County, AL"	"01097"	26	415395	6.3
	"Shelby County, AL"	"01117"	11	208713	Unreliable
	"Anchorage Borough, AK"	"02020"	42	298695	14.1
	"Kenai Peninsula Borough, AK"	"02122"	13	58059	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	11	101095	Unreliable
	"Cochise County, AZ"	"04003"	25	126427	19.8
	"Coconino County, AZ"	"04005"	12	139097	Unreliable
	"Maricopa County, AZ"	"04013"	369	4167947	8.9
	"Mohave County, AZ"	"04015"	49	204737	23.9
	"Pima County, AZ"	"04019"	158	1010025	15.6
	"Pinal County, AZ"	"04021"	37	406584	9.1
	"Yavapai County, AZ"	"04025"	17	222255	Unreliable
	"Benton County, AR"	"05007"	23	249672	9.2
	"Garland County, AR"	"05051"	20	97177	20.6
	"Pulaski County, AR"	"05119"	22	392664	5.6
	"Sebastian County, AR"	"05131"	14	127780	Unreliable
	"Washington County, AR"	"05143"	11	225477	Unreliable
	"Alameda County, CA"	"06001"	72	1638215	4.4
	"Butte County, CA"	"06007"	20	225411	8.9
	"Contra Costa County, CA"	"06013"	51	1126745	4.5
	"Fresno County, CA"	"06019"	66	974861	6.8
	"Humboldt County, CA"	"06023"	28	135727	20.6
	"Imperial County, CA"	"06025"	21	180191	11.7
	"Kern County, CA"	"06029"	80	882176	9.1
	"Lake County, CA"	"06033"	20	64591	31.0
	"Los Angeles County, CA"	"06037"	316	10170292	3.1
	"Madera County, CA"	"06039"	10	154998	Unreliable
	"Mendocino County, CA"	"06045"	14	87649	Unreliable
	"Merced County, CA"	"06047"	20	268455	7.5
	"Monterey County, CA"	"06053"	13	433898	Unreliable
	"Orange County, CA"	"06059"	267	3169776	8.4
	"Placer County, CA"	"06061"	17	375391	Unreliable
	"Riverside County, CA"	"06065"	144	2361026	6.1
	"Sacramento County, CA"	"06067"	46	1501335	3.1
	"San Bernardino County, CA"	"06071"	40	2128133	1.9
	"San Diego County, CA"	"06073"	265	3299521	8.0
	"San Francisco County, CA"	"06075"	99	864816	11.4
	"San Joaquin County, CA"	"06077"	56	726106	7.7
	"San Luis Obispo County, CA"	"06079"	30	281401	10.7
	"San Mateo County, CA"	"06081"	29	765135	3.8
	"Santa Barbara County, CA"	"06083"	35	444769	7.9
	"Santa Clara County, CA"	"06085"	67	1918044	3.5
	"Santa Cruz County, CA"	"06087"	29	274146	10.6
	"Shasta County, CA"	"06089"	18	179533	Unreliable
	"Solano County, CA"	"06095"	20	436092	4.6
	"Sonoma County, CA"	"06097"	40	502146	8.0
	"Stanislaus County, CA"	"06099"	27	538388	5.0
	"Tulare County, CA"	"06107"	12	459863	Unreliable
	"Tuolumne County, CA"	"06109"	15	53709	Unreliable
	"Ventura County, CA"	"06111"	54	850536	6.3
	"Yolo County, CA"	"06113"	14	213016	Unreliable
	"Adams County, CO"	"08001"	55	491337	11.2
	"Arapahoe County, CO"	"08005"	76	631096	12.0
	"Boulder County, CO"	"08013"	18	319372	Unreliable
	"Denver County, CO"	"08031"	80	682545	11.7
	"Douglas County, CO"	"08035"	13	322387	Unreliable
	"El Paso County, CO"	"08041"	76	674471	11.3
	"Jefferson County, CO"	"08059"	61	565524	10.8
	"Larimer County, CO"	"08069"	31	333577	9.3
	"Pueblo County, CO"	"08101"	27	163591	16.5
	"Weld County, CO"	"08123"	19	285174	Unreliable
	"Fairfield County, CT"	"09001"	115	948053	12.1
	"Hartford County, CT"	"09003"	193	895841	21.5
	"Litchfield County, CT"	"09005"	52	183603	28.3
	"Middlesex County, CT"	"09007"	37	164063	22.6
	"New Haven County, CT"	"09009"	177	859470	20.6
	"New London County, CT"	"09011"	66	271863	24.3
	"Tolland County, CT"	"09013"	22	151420	14.5
	"Windham County, CT"	"09015"	30	116573	25.7
	"Kent County, DE"	"10001"	27	173533	15.6
	"New Castle County, DE"	"10003"	76	556779	13.6
	"Sussex County, DE"	"10005"	35	215622	16.2
	"District of Columbia, DC"	"11001"	100	672228	14.9
	"Alachua County, FL"	"12001"	11	259964	Unreliable
	"Bay County, FL"	"12005"	19	181635	Unreliable
	"Brevard County, FL"	"12009"	52	568088	9.2
	"Broward County, FL"	"12011"	103	1896425	5.4
	"Charlotte County, FL"	"12015"	13	173115	Unreliable
	"Clay County, FL"	"12019"	38	203967	18.6
	"Collier County, FL"	"12021"	45	357305	12.6
	"Duval County, FL"	"12031"	126	913010	13.8
	"Escambia County, FL"	"12033"	48	311003	15.4
	"Flagler County, FL"	"12035"	10	105392	Unreliable
	"Hernando County, FL"	"12053"	14	178439	Unreliable
	"Hillsborough County, FL"	"12057"	128	1349050	9.5
	"Lake County, FL"	"12069"	12	325875	Unreliable
	"Lee County, FL"	"12071"	87	701982	12.4
	"Manatee County, FL"	"12081"	128	363369	35.2
	"Marion County, FL"	"12083"	18	343254	Unreliable
	"Miami-Dade County, FL"	"12086"	137	2693117	5.1
	"Okaloosa County, FL"	"12091"	40	198664	20.1
	"Orange County, FL"	"12095"	158	1288126	12.3
	"Osceola County, FL"	"12097"	33	323993	10.2
	"Palm Beach County, FL"	"12099"	145	1422789	10.2
	"Pasco County, FL"	"12101"	46	497909	9.2
	"Pinellas County, FL"	"12103"	66	949827	6.9
	"Polk County, FL"	"12105"	34	650092	5.2
	"St. Johns County, FL"	"12109"	15	226640	Unreliable
	"St. Lucie County, FL"	"12111"	11	298563	Unreliable
	"Santa Rosa County, FL"	"12113"	20	167040	12.0
	"Sarasota County, FL"	"12115"	82	405549	20.2
	"Seminole County, FL"	"12117"	54	449144	12.0
	"Volusia County, FL"	"12127"	87	517887	16.8
	"Bartow County, GA"	"13015"	14	102747	Unreliable
	"Bibb County, GA"	"13021"	10	153721	Unreliable
	"Carroll County, GA"	"13045"	11	114545	Unreliable
	"Chatham County, GA"	"13051"	17	286956	Unreliable
	"Cherokee County, GA"	"13057"	41	235900	17.4
	"Clayton County, GA"	"13063"	19	273955	Unreliable
	"Cobb County, GA"	"13067"	89	741334	12.0
	"Columbia County, GA"	"13073"	15	144052	Unreliable
	"Coweta County, GA"	"13077"	10	138427	Unreliable
	"DeKalb County, GA"	"13089"	57	734871	7.8
	"Douglas County, GA"	"13097"	15	140733	Unreliable
	"Fayette County, GA"	"13113"	11	110714	Unreliable
	"Forsyth County, GA"	"13117"	28	212438	13.2
	"Fulton County, GA"	"13121"	99	1010562	9.8
	"Gwinnett County, GA"	"13135"	74	895823	8.3
	"Hall County, GA"	"13139"	13	193535	Unreliable
	"Henry County, GA"	"13151"	16	217739	Unreliable
	"Jackson County, GA"	"13157"	15	63360	Unreliable
	"Paulding County, GA"	"13223"	21	152238	13.8
	"Richmond County, GA"	"13245"	28	201793	13.9
	"Troup County, GA"	"13285"	10	69763	Unreliable
	"Walton County, GA"	"13297"	17	88399	Unreliable
	"Whitfield County, GA"	"13313"	12	104216	Unreliable
	"Honolulu County, HI"	"15003"	45	998714	4.5
	"Maui County, HI"	"15009"	13	164637	Unreliable
	"Ada County, ID"	"16001"	23	434211	5.3
	"Kootenai County, ID"	"16055"	10	150346	Unreliable
	"Bureau County, IL"	"17011"	10	33587	Unreliable
	"Champaign County, IL"	"17019"	24	208861	11.5
	"Cook County, IL"	"17031"	571	5238216	10.9
	"DuPage County, IL"	"17043"	81	933736	8.7
	"Kane County, IL"	"17089"	26	530847	4.9
	"Kankakee County, IL"	"17091"	13	110879	Unreliable
	"Lake County, IL"	"17097"	72	703910	10.2
	"LaSalle County, IL"	"17099"	21	111333	18.9
	"McHenry County, IL"	"17111"	44	307343	14.3
	"McLean County, IL"	"17113"	17	173166	Unreliable
	"Macon County, IL"	"17115"	11	107303	Unreliable
	"Madison County, IL"	"17119"	71	266209	26.7
	"Peoria County, IL"	"17143"	29	186221	15.6
	"St. Clair County, IL"	"17163"	26	264052	9.8
	"Sangamon County, IL"	"17167"	35	198712	17.6
	"Tazewell County, IL"	"17179"	20	134800	14.8
	"Vermilion County, IL"	"17183"	10	79282	Unreliable
	"Will County, IL"	"17197"	82	687263	11.9
	"Winnebago County, IL"	"17201"	64	287078	22.3
	"Allen County, IN"	"18003"	16	368450	Unreliable
	"Clark County, IN"	"18019"	12	115371	Unreliable
	"Dearborn County, IN"	"18029"	12	49455	Unreliable
	"Delaware County, IN"	"18035"	19	116852	Unreliable
	"Floyd County, IN"	"18043"	10	76778	Unreliable
	"Grant County, IN"	"18053"	11	67979	Unreliable
	"Hamilton County, IN"	"18057"	17	309697	Unreliable
	"Howard County, IN"	"18067"	20	82556	24.2
	"Lake County, IN"	"18089"	34	487865	7.0
	"Madison County, IN"	"18095"	20	129723	15.4
	"Marion County, IN"	"18097"	99	939020	10.5
	"Monroe County, IN"	"18105"	10	144705	Unreliable
	"Morgan County, IN"	"18109"	10	69648	Unreliable
	"Porter County, IN"	"18127"	22	167688	13.1
	"St. Joseph County, IN"	"18141"	41	268441	15.3
	"Tippecanoe County, IN"	"18157"	13	185826	Unreliable
	"Vanderburgh County, IN"	"18163"	12	181877	Unreliable
	"Wayne County, IN"	"18177"	22	67001	32.8
	"Linn County, IA"	"19113"	19	219916	Unreliable
	"Polk County, IA"	"19153"	47	467711	10.0
	"Scott County, IA"	"19163"	22	172126	12.8
	"Douglas County, KS"	"20045"	12	118053	Unreliable
	"Johnson County, KS"	"20091"	28	580159	4.8
	"Sedgwick County, KS"	"20173"	29	511574	5.7
	"Shawnee County, KS"	"20177"	16	178725	Unreliable
	"Bell County, KY"	"21013"	16	27337	Unreliable
	"Boone County, KY"	"21015"	33	127712	25.8
	"Boyd County, KY"	"21019"	19	48325	Unreliable
	"Bullitt County, KY"	"21029"	13	78702	Unreliable
	"Campbell County, KY"	"21037"	38	92066	41.3
	"Daviess County, KY"	"21059"	10	99259	Unreliable
	"Fayette County, KY"	"21067"	99	314488	31.5
	"Floyd County, KY"	"21071"	15	37756	Unreliable
	"Franklin County, KY"	"21073"	10	50375	Unreliable
	"Greenup County, KY"	"21089"	10	36068	Unreliable
	"Jefferson County, KY"	"21111"	110	763623	14.4
	"Jessamine County, KY"	"21113"	13	51961	Unreliable
	"Kenton County, KY"	"21117"	81	165012	49.1
	"Knox County, KY"	"21121"	13	31730	Unreliable
	"Madison County, KY"	"21151"	26	87824	29.6
	"Oldham County, KY"	"21185"	11	64875	Unreliable
	"Perry County, KY"	"21193"	10	27565	Unreliable
	"Pike County, KY"	"21195"	19	61792	Unreliable
	"Scott County, KY"	"21209"	12	52420	Unreliable
	"Shelby County, KY"	"21211"	11	45632	Unreliable
	"Whitley County, KY"	"21235"	11	36129	Unreliable
	"Caddo Parish, LA"	"22017"	11	251460	Unreliable
	"East Baton Rouge Parish, LA"	"22033"	19	446753	Unreliable
	"Jefferson Parish, LA"	"22051"	89	436275	20.4
	"Orleans Parish, LA"	"22071"	21	389617	5.4
	"Ouachita Parish, LA"	"22073"	10	156761	Unreliable
	"St. Tammany Parish, LA"	"22103"	49	250088	19.6
	"Washington Parish, LA"	"22117"	11	46371	Unreliable
	"Androscoggin County, ME"	"23001"	21	107233	19.6
	"Cumberland County, ME"	"23005"	71	289977	24.5
	"Kennebec County, ME"	"23011"	27	119980	22.5
	"Penobscot County, ME"	"23019"	25	152692	16.4
	"York County, ME"	"23031"	43	201169	21.4
	"Allegany County, MD"	"24001"	13	72528	Unreliable
	"Anne Arundel County, MD"	"24003"	109	564195	19.3
	"Baltimore County, MD"	"24005"	215	831128	25.9
	"Calvert County, MD"	"24009"	18	90595	Unreliable
	"Carroll County, MD"	"24013"	39	167627	23.3
	"Cecil County, MD"	"24015"	26	102382	25.4
	"Charles County, MD"	"24017"	20	156118	12.8
	"Frederick County, MD"	"24021"	33	245322	13.5
	"Harford County, MD"	"24025"	49	250290	19.6
	"Howard County, MD"	"24027"	34	313414	10.8
	"Montgomery County, MD"	"24031"	71	1040116	6.8
	"Prince George's County, MD"	"24033"	45	909535	4.9
	"St. Mary's County, MD"	"24037"	16	111413	Unreliable
	"Washington County, MD"	"24043"	50	149585	33.4
	"Wicomico County, MD"	"24045"	10	102370	Unreliable
	"Worcester County, MD"	"24047"	17	51540	Unreliable
	"Baltimore city, MD"	"24510"	300	621849	48.2
	"Barnstable County, MA"	"25001"	61	214333	28.5
	"Berkshire County, MA"	"25003"	33	127828	25.8
	"Bristol County, MA"	"25005"	162	556772	29.1
	"Essex County, MA"	"25009"	211	776043	27.2
	"Franklin County, MA"	"25011"	18	70601	Unreliable
	"Hampden County, MA"	"25013"	94	470690	20.0
	"Hampshire County, MA"	"25015"	16	161292	Unreliable
	"Middlesex County, MA"	"25017"	299	1585139	18.9
	"Norfolk County, MA"	"25021"	144	696023	20.7
	"Plymouth County, MA"	"25023"	153	510393	30.0
	"Suffolk County, MA"	"25025"	177	778121	22.7
	"Worcester County, MA"	"25027"	208	818963	25.4
	"Bay County, MI"	"26017"	15	105659	Unreliable
	"Berrien County, MI"	"26021"	19	154636	Unreliable
	"Calhoun County, MI"	"26025"	41	134314	30.5
	"Eaton County, MI"	"26045"	20	108801	18.4
	"Genesee County, MI"	"26049"	46	410849	11.2
	"Grand Traverse County, MI"	"26055"	10	91636	Unreliable
	"Ingham County, MI"	"26065"	54	286085	18.9
	"Isabella County, MI"	"26073"	11	70698	Unreliable
	"Kalamazoo County, MI"	"26077"	18	260263	Unreliable
	"Kent County, MI"	"26081"	82	636369	12.9
	"Lenawee County, MI"	"26091"	21	98573	21.3
	"Livingston County, MI"	"26093"	23	187316	12.3
	"Macomb County, MI"	"26099"	168	864840	19.4
	"Monroe County, MI"	"26115"	35	149568	23.4
	"Montcalm County, MI"	"26117"	13	62945	Unreliable
	"Muskegon County, MI"	"26121"	35	172790	20.3
	"Oakland County, MI"	"26125"	43	1242304	3.5
	"Ottawa County, MI"	"26139"	30	279955	10.7
	"St. Clair County, MI"	"26147"	21	159875	13.1
	"Washtenaw County, MI"	"26161"	55	358880	15.3
	"Wayne County, MI"	"26163"	415	1759335	23.6
	"Anoka County, MN"	"27003"	26	344151	7.6
	"Dakota County, MN"	"27037"	25	414686	6.0
	"Hennepin County, MN"	"27053"	104	1223149	8.5
	"Ramsey County, MN"	"27123"	36	538133	6.7
	"St. Louis County, MN"	"27137"	24	200431	12.0
	"Stearns County, MN"	"27145"	11	154708	Unreliable
	"Washington County, MN"	"27163"	10	251597	Unreliable
	"DeSoto County, MS"	"28033"	29	173323	16.7
	"Harrison County, MS"	"28047"	11	201410	Unreliable
	"Jackson County, MS"	"28059"	10	141425	Unreliable
	"Boone County, MO"	"29019"	10	174974	Unreliable
	"Clay County, MO"	"29047"	23	235637	9.8
	"Franklin County, MO"	"29071"	20	102426	19.5
	"Greene County, MO"	"29077"	58	288072	20.1
	"Jackson County, MO"	"29095"	65	687623	9.5
	"Jefferson County, MO"	"29099"	57	224124	25.4
	"Lincoln County, MO"	"29113"	11	54696	Unreliable
	"St. Charles County, MO"	"29183"	63	385590	16.3
	"St. Louis County, MO"	"29189"	148	1003362	14.8
	"St. Louis city, MO"	"29510"	97	315685	30.7
	"Yellowstone County, MT"	"30111"	10	157048	Unreliable
	"Douglas County, NE"	"31055"	27	550064	4.9
	"Clark County, NV"	"32003"	348	2114801	16.5
	"Nye County, NV"	"32023"	13	42477	Unreliable
	"Washoe County, NV"	"32031"	67	446903	15.0
	"Carson City, NV"	"32510"	22	54521	40.4
	"Belknap County, NH"	"33001"	18	60641	Unreliable
	"Carroll County, NH"	"33003"	17	47285	Unreliable
	"Coos County, NH"	"33007"	13	31212	Unreliable
	"Grafton County, NH"	"33009"	13	89320	Unreliable
	"Hillsborough County, NH"	"33011"	150	406678	36.9
	"Merrimack County, NH"	"33013"	29	147994	19.6
	"Rockingham County, NH"	"33015"	88	301777	29.2
	"Strafford County, NH"	"33017"	41	126825	32.3
	"Atlantic County, NJ"	"34001"	55	274219	20.1
	"Bergen County, NJ"	"34003"	83	938506	8.8
	"Burlington County, NJ"	"34005"	27	450226	6.0
	"Cape May County, NJ"	"34009"	24	94727	25.3
	"Cumberland County, NJ"	"34011"	19	155854	Unreliable
	"Essex County, NJ"	"34013"	89	797434	11.2
	"Hudson County, NJ"	"34017"	65	674836	9.6
	"Hunterdon County, NJ"	"34019"	12	125488	Unreliable
	"Mercer County, NJ"	"34021"	45	371398	12.1
	"Middlesex County, NJ"	"34023"	81	840900	9.6
	"Monmouth County, NJ"	"34025"	98	628715	15.6
	"Morris County, NJ"	"34027"	40	499509	8.0
	"Ocean County, NJ"	"34029"	62	588721	10.5
	"Passaic County, NJ"	"34031"	51	510916	10.0
	"Somerset County, NJ"	"34035"	26	333654	7.8
	"Sussex County, NJ"	"34037"	17	143673	Unreliable
	"Union County, NJ"	"34039"	54	555786	9.7
	"Warren County, NJ"	"34041"	19	106869	Unreliable
	"Bernalillo County, NM"	"35001"	154	676685	22.8
	"Dona Ana County, NM"	"35013"	29	214295	13.5
	"Eddy County, NM"	"35015"	12	57578	Unreliable
	"Rio Arriba County, NM"	"35039"	24	39465	60.8
	"Sandoval County, NM"	"35043"	19	139394	Unreliable
	"San Juan County, NM"	"35045"	10	118737	Unreliable
	"Santa Fe County, NM"	"35049"	42	148686	28.2
	"Taos County, NM"	"35055"	12	32907	Unreliable
	"Albany County, NY"	"36001"	32	309381	10.3
	"Bronx County, NY"	"36005"	174	1455444	12.0
	"Broome County, NY"	"36007"	28	196567	14.2
	"Cattaraugus County, NY"	"36009"	11	77922	Unreliable
	"Cayuga County, NY"	"36011"	14	78288	Unreliable
	"Chautauqua County, NY"	"36013"	16	130779	Unreliable
	"Chemung County, NY"	"36015"	10	87071	Unreliable
	"Dutchess County, NY"	"36027"	58	295754	19.6
	"Erie County, NY"	"36029"	241	922578	26.1
	"Jefferson County, NY"	"36045"	11	117635	Unreliable
	"Kings County, NY"	"36047"	205	2636735	7.8
	"Monroe County, NY"	"36055"	83	749600	11.1
	"Nassau County, NY"	"36059"	181	1361350	13.3
	"New York County, NY"	"36061"	119	1644518	7.2
	"Niagara County, NY"	"36063"	45	212652	21.2
	"Oneida County, NY"	"36065"	35	232500	15.1
	"Onondaga County, NY"	"36067"	73	468463	15.6
	"Orange County, NY"	"36071"	67	377647	17.7
	"Oswego County, NY"	"36075"	16	120146	Unreliable
	"Putnam County, NY"	"36079"	14	99042	Unreliable
	"Queens County, NY"	"36081"	120	2339150	5.1
	"Rensselaer County, NY"	"36083"	17	160266	Unreliable
	"Richmond County, NY"	"36085"	67	474558	14.1
	"Rockland County, NY"	"36087"	29	326037	8.9
	"St. Lawrence County, NY"	"36089"	13	111007	Unreliable
