HCPCS CODE,MODIFIER,SHORT DESCRIPTION,PROC STAT,MAC LOCALITY,NON-FACILITY PRICE,FACILITY PRICE,NON-FACILITY LIMITING CHARGE,FACILITY LIMITING CHARGE,CONV FACT,GPCI WORK,GPCI PE,GPCI MP,PROC STAT,PCTC,NOT USED FOR MEDICARE,WORK RVU,NA FLAG FOR NON-FAC PE RVU,NON-FACILITY PE RVU,NA FLAG FOR TRANS NON-FAC PE RVU,TRANSITIONED NON-FAC PE RVU,NA FLG FOR FULLY IMP NON-FAC PE RVU,FULLY IMPLEMENTED NON-FAC PE RVU,NA FLAG FOR TRANS FACILITY PE RVU,NA FLAG FOR FACILITY PE RVU,FACILITY PE RVU,TRANSITIONED FACILITY PE RVU,NA FLAG FOR FULLY IMP FAC PE RVU,FULLY IMPLEMENTED FACILITY PE RVU,MP RVU,NON-FACILITY TOTAL,TRANSITIONED NON-FAC TOTAL,FACILITY TOTAL,TRANSITIONED FACILITY TOTAL,FULLY IMPLEMENTED NON-FAC TOTAL,FULLY IMPLEMENTED FACILITY TOTAL,PCTC,GLOBAL,PRE OP,INTRA OP,POST OP,MULT SURG,BILT SURG,ASST SURG,CO SURG,TEAM SURG,PHYS SUPV,ENDOBASE,CONV FACT,NOT USED FOR MEDICARE,DIAG IMAGING FAMILY IND,OPPS NON-FACILITY PAYMENT AMOUNT<sup>1</sup>,OPPS FACILITY PAYMENT AMOUNT<sup>1</sup>,NON-FAC PE USED FOR OPPS PMT AMT,FACILITY PE USED FOR OPPS PMT AMT,MALPRACTICE USED FOR OPPS PMT AMT
,,,,0,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1010200,,,,,,1,0.886,0.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,210201,,,,,,1.5,1.107,0.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,310200,,,,,,1,1,0.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,710213,,,,,,1,0.867,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118226,,,,,,1.035,1.216,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118218,,,,,,1.047,1.161,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111203,,,,,,1.059,1.286,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111207,,,,,,1.061,1.26,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111205,,,,,,1.079,1.388,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111206,,,,,,1.079,1.372,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111209,,,,,,1.088,1.347,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118217,,,,,,1.03,1.18,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,111299,,,,,,1.027,1.083,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,118299,,,,,,1.027,1.083,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,411201,,,,,,1,1.011,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1310200,,,,,,1.024,1.121,1.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1220201,,,,,,1.051,1.205,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1210201,,,,,,1.012,1.031,1.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,910203,,,,,,1,1.03,1.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,910204,,,,,,1,1.033,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,910299,,,,,,1,0.96,1.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1020201,,,,,,1,1.005,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1020299,,,,,,1,0.899,0.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,121201,,,,,,1.003,1.162,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,220200,,,,,,1,0.898,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,610216,,,,,,1.016,1.037,2.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,610212,,,,,,1,0.934,1.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,610215,,,,,,1.012,1.057,1.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,610299,,,,,,1,0.909,1.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,810200,,,,,,1,0.921,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,510200,,,,,,1,0.896,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,520200,,,,,,1,0.903,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1510200,,,,,,1,0.872,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,720201,,,,,,1,0.983,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,720299,,,,,,1,0.887,1.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1411203,,,,,,1,1.007,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1411299,,,,,,1,0.918,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1230201,,,,,,1.023,1.097,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1230299,,,,,,1.015,1.036,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
