Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee15t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2015",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2015, Preliminary  NCJ 251780",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2015",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
State and type of government,Population 2015 thousands,Total direct expenditure/a,Amount,Percent of total direct expenditure/b,Amount,Percent of total justice system,Amount,Percent of total justice system,Amount,Percent of total justice system
"States-local, total",321040,3397471335,225973906,6.7,105151832,46.5,44093518,19.5,76728556,34
State,-,1634101666,85456384,5.2,14549918,17,21739191,25.4,49167275,57.5
"Local, total",-,1763369669,140517522,8,90601914,64.5,22354327,15.9,27561281,19.6
Counties,-,380013508,68522831,18,28110134,41,17031495,24.9,23381202,34.1
Municipalities,-,537684492,66321609,12.3,57686190,87,4940226,7.4,3695193,5.6
,,,,,,,,,,
Alabama,4851,44192672,2426053,5.5,1264179,52.1,418973,17.3,742901,30.6
State,-,22576088,949617,4.2,162224,17.1,265125,27.9,522268,55
"Local, total",-,21616584,1476436,6.8,1101955,74.6,153848,10.4,220633,14.9
Counties,-,2198475,653742,29.7,368767,56.4,85876,13.1,199099,30.5
Municipalities,-,6400553,822694,12.9,733188,89.1,67972,8.3,21534,2.6
,,,,,,,,,,
Alaska,738,16803591,971448,5.8,362795,37.3,261439,26.9,347214,35.7
State,-,10970417,706835,6.4,131028,18.5,235081,33.3,340726,48.2
"Local, total",-,5833174,264613,4.5,231767,87.6,26358,10,6488,2.5
Boroughs,-,2388654,40753,1.7,29098,71.4,9627,23.6,2028,5
Municipalities,-,3225688,223860,6.9,202669,90.5,16731,7.5,4460,2
,,,,,,,,,,
Arizona,6802,55374633,4844345,8.7,2122748,43.8,1013880,20.9,1707717,35.3
State,-,27503877,1508542,5.5,235943,15.6,198921,13.2,1073678,71.2
"Local, total",-,27870756,3335803,12,1886805,56.6,814959,24.4,634039,19
Counties,-,3778913,1724588,45.6,431498,25,659754,38.3,633336,36.7
Municipalities,-,9186012,1611215,17.5,1455307,90.3,155205,9.6,703,0
,,,,,,,,,,
Arkansas,2976,26304010,1494677,5.7,694836,46.5,212262,14.2,587579,39.3
State,-,16153574,641209,4,116569,18.2,120867,18.8,403773,63
"Local, total",-,10150436,853468,8.4,578267,67.8,91395,10.7,183806,21.5
Counties,-,1151794,380389,33,152319,40,53468,14.1,174602,45.9
Municipalities,-,3180817,473079,14.9,425948,90,37927,8,9204,1.9
,,,,,,,,,,
California,39032,512246326,39930863,7.8,16619363,41.6,8025609,20.1,15285891,38.3
State,-,222611245,15099326,6.8,1770951,11.7,3815772,25.3,9512603,63
"Local, total",-,289635081,24831537,8.6,14848412,59.8,4209837,17,5773288,23.2
Counties,-,70808223,14334683,20.2,4947305,34.5,3816837,26.6,5570541,38.9
Municipalities,-,71245164,10495760,14.7,9900013,94.3,393000,3.7,202747,1.9
,,,,,,,,,,
Colorado,5440,57360178,3853931,6.7,1835368,47.6,741748,19.2,1276815,33.1
State,-,26971241,1581523,5.9,226429,14.3,461813,29.2,893281,56.5
"Local, total",-,30388937,2272408,7.5,1608939,70.8,279935,12.3,383534,16.9
Counties,-,4071342,894103,22,498585,55.8,135528,15.2,259990,29.1
Municipalities,-,10049081,1378305,13.7,1110354,80.6,144407,10.5,123544,9
,,,,,,,,,,
Connecticut,3594,44096922,2678988,6.1,1189062,44.4,790875,29.5,699051,26.1
State,-,25553093,1688162,6.6,241416,14.3,747695,44.3,699051,41.4
"Local, total",-,18543829,990826,5.3,947646,95.6,43180,4.4,0,0
Municipalities,-,6610897,497013,7.5,474376,95.4,22637,4.6,0,0
,,,,,,,,,,
Delaware,944,10974071,854818,7.8,354312,41.4,198245,23.2,302261,35.4
State,-,7539905,618243,8.2,133120,21.5,182862,29.6,302261,48.9
"Local, total",-,3434166,236575,6.9,221192,93.5,15383,6.5,0,0
Counties,-,454994,99738,21.9,89673,89.9,10065,10.1,0,0
Municipalities,-,682654,136837,20,131519,96.1,5318,3.9,0,0
,,,,,,,,,,
District of Columbia,673,15742002,834097,5.3,584667,70.1,107058,12.8,142372,17.1
"Local, total",-,15742002,834097,5.3,584667,70.1,107058,12.8,142372,17.1
Municipality,-,12917714,834097,6.5,584667,70.1,107058,12.8,142372,17.1
,,,,,,,,,,
Florida,20269,164784005,13914315,8.4,7569620,54.4,2272890,16.3,4071805,29.3
State,-,67107386,4169771,6.2,536164,12.9,1364355,32.7,2269252,54.4
"Local, total",-,97676619,9744544,10,7033456,72.2,908535,9.3,1802553,18.5
Counties,-,28993837,6195750,21.4,3607767,58.2,786660,12.7,1801323,29.1
Municipalities,-,21814898,3548794,16.3,3425689,96.5,121875,3.4,1230,0
,,,,,,,,,,
Georgia,10200,81192105,5990371,7.4,2564630,42.8,1143942,19.1,2281799,38.1
State,-,35432468,2098030,5.9,345985,16.5,303482,14.5,1448563,69
"Local, total",-,45759637,3892341,8.5,2218645,57,840460,21.6,833236,21.4
Counties,-,9111622,2567970,28.2,1144322,44.6,723138,28.2,700510,27.3
Municipalities,-,9052424,1324371,14.6,1074323,81.1,117322,8.9,132726,10
,,,,,,,,,,
Hawaii,1426,16027099,968632,6,457226,47.2,294105,30.4,217301,22.4
State,-,12147028,496021,4.1,37958,7.7,240762,48.5,217301,43.8
"Local, total",-,3880071,472611,12.2,419268,88.7,53343,11.3,0,0
Counties,-,1230924,176291,14.3,150573,85.4,25718,14.6,0,0
Municipalities,-,2627394,296320,11.3,268695,90.7,27625,9.3,0,0
,,,,,,,,,,
Idaho,1649,11994623,978935,8.2,426942,43.6,211937,21.6,340056,34.7
State,-,6715917,416827,6.2,57052,13.7,94970,22.8,264805,63.5
"Local, total",-,5278706,562108,10.6,369890,65.8,116967,20.8,75251,13.4
Counties,-,1018604,360283,35.4,180230,50,104802,29.1,75251,20.9
Municipalities,-,1298987,201825,15.5,189660,94,12165,6,0,0
,,,,,,,,,,
Illinois,12862,141980448,8855944,6.2,5004684,56.5,1598014,18,2253246,25.4
State,-,63740883,2400620,3.8,428386,17.8,513539,21.4,1458695,60.8
"Local, total",-,78239565,6455324,8.3,4576298,70.9,1084475,16.8,794551,12.3
Counties,-,7819313,2457498,31.4,647964,26.4,1014983,41.3,794551,32.3
Municipalities,-,22652202,3997826,17.6,3928334,98.3,69492,1.7,0,0
,,,,,,,,,,
Indiana,6611,54841423,2757385,5,1210375,43.9,536763,19.5,1010247,36.6
State,-,27937292,1009869,3.6,216872,21.5,165301,16.4,627696,62.2
"Local, total",-,26904131,1747516,6.5,993503,56.9,371462,21.3,382551,21.9
Counties,-,5927471,695388,11.7,194491,28,244309,35.1,256588,36.9
Municipalities,-,9087673,1052128,11.6,799012,75.9,127153,12.1,125963,12
,,,,,,,,,,
Iowa,3118,34069718,1538861,4.5,751907,48.9,347670,22.6,439284,28.5
State,-,17539478,639907,3.6,97139,15.2,249863,39,292905,45.8
