"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	14	218022	Unreliable
	"Cullman County, AL"	"01043"	12	83442	Unreliable
	"DeKalb County, AL"	"01049"	10	71385	Unreliable
	"Etowah County, AL"	"01055"	15	102501	Unreliable
	"Jefferson County, AL"	"01073"	145	659300	22.0
	"Madison County, AL"	"01089"	13	366519	Unreliable
	"Mobile County, AL"	"01097"	33	413757	8.0
	"Morgan County, AL"	"01103"	15	119089	Unreliable
	"St. Clair County, AL"	"01115"	17	88690	Unreliable
	"Shelby County, AL"	"01117"	25	215707	11.6
	"Tuscaloosa County, AL"	"01125"	12	208911	Unreliable
	"Anchorage Borough, AK"	"02020"	35	291538	12.0
	"Fairbanks North Star Borough, AK"	"02090"	10	98971	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	13	58533	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	13	107610	Unreliable
	"Cochise County, AZ"	"04003"	15	126770	Unreliable
	"Coconino County, AZ"	"04005"	25	142854	17.5
	"Maricopa County, AZ"	"04013"	815	4410824	18.5
	"Mohave County, AZ"	"04015"	24	209550	11.5
	"Pima County, AZ"	"04019"	182	1039073	17.5
	"Pinal County, AZ"	"04021"	38	447138	8.5
	"Yavapai County, AZ"	"04025"	27	231993	11.6
	"Benton County, AR"	"05007"	24	272608	8.8
	"Garland County, AR"	"05051"	14	99154	Unreliable
	"Pulaski County, AR"	"05119"	51	392680	13.0
	"Sebastian County, AR"	"05131"	10	127753	Unreliable
	"Alameda County, CA"	"06001"	58	1666753	3.5
	"Butte County, CA"	"06007"	20	231256	8.6
	"Contra Costa County, CA"	"06013"	86	1150215	7.5
	"Fresno County, CA"	"06019"	36	994400	3.6
	"Humboldt County, CA"	"06023"	19	136373	Unreliable
	"Imperial County, CA"	"06025"	19	181827	Unreliable
	"Kern County, CA"	"06029"	100	896764	11.2
	"Lake County, CA"	"06033"	26	64382	40.4
	"Los Angeles County, CA"	"06037"	553	10105518	5.5
	"Marin County, CA"	"06041"	10	259666	Unreliable
	"Mendocino County, CA"	"06045"	20	87606	22.8
	"Merced County, CA"	"06047"	21	274765	7.6
	"Orange County, CA"	"06059"	271	3185968	8.5
	"Placer County, CA"	"06061"	10	393149	Unreliable
	"Riverside County, CA"	"06065"	158	2450758	6.4
	"Sacramento County, CA"	"06067"	71	1540975	4.6
	"San Bernardino County, CA"	"06071"	106	2171603	4.9
	"San Diego County, CA"	"06073"	287	3343364	8.6
	"San Francisco County, CA"	"06075"	149	883305	16.9
	"San Joaquin County, CA"	"06077"	29	752660	3.9
	"San Luis Obispo County, CA"	"06079"	14	284010	Unreliable
	"San Mateo County, CA"	"06081"	44	769545	5.7
	"Santa Barbara County, CA"	"06083"	34	446527	7.6
	"Santa Clara County, CA"	"06085"	61	1937570	3.1
	"Santa Cruz County, CA"	"06087"	26	274255	9.5
	"Shasta County, CA"	"06089"	16	180040	Unreliable
	"Solano County, CA"	"06095"	20	446610	4.5
	"Sonoma County, CA"	"06097"	48	499942	9.6
	"Stanislaus County, CA"	"06099"	36	549815	6.5
	"Ventura County, CA"	"06111"	99	850967	11.6
	"Adams County, CO"	"08001"	76	511868	14.8
	"Arapahoe County, CO"	"08005"	76	651215	11.7
	"Boulder County, CO"	"08013"	21	326078	6.4
	"Denver County, CO"	"08031"	93	716492	13.0
	"El Paso County, CO"	"08041"	110	713856	15.4
	"Jefferson County, CO"	"08059"	63	580233	10.9
	"Larimer County, CO"	"08069"	26	350518	7.4
	"Mesa County, CO"	"08077"	12	153207	Unreliable
	"Pueblo County, CO"	"08101"	18	167529	Unreliable
	"Weld County, CO"	"08123"	28	314305	8.9
	"Fairfield County, CT"	"09001"	161	943823	17.1
	"Hartford County, CT"	"09003"	270	892697	30.2
	"Litchfield County, CT"	"09005"	73	181111	40.3
	"Middlesex County, CT"	"09007"	56	162682	34.4
	"New Haven County, CT"	"09009"	241	857620	28.1
	"New London County, CT"	"09011"	86	266784	32.2
	"Tolland County, CT"	"09013"	35	150921	23.2
	"Windham County, CT"	"09015"	39	117027	33.3
	"Kent County, DE"	"10001"	58	178550	32.5
	"New Castle County, DE"	"10003"	226	559335	40.4
	"Sussex County, DE"	"10005"	74	229286	32.3
	"District of Columbia, DC"	"11001"	192	702455	27.3
	"Alachua County, FL"	"12001"	13	269956	Unreliable
	"Bay County, FL"	"12005"	24	185287	13.0
	"Brevard County, FL"	"12009"	201	596849	33.7
	"Broward County, FL"	"12011"	224	1951260	11.5
	"Charlotte County, FL"	"12015"	10	184998	Unreliable
	"Citrus County, FL"	"12017"	34	147929	23.0
	"Clay County, FL"	"12019"	47	216072	21.8
	"Collier County, FL"	"12021"	49	378488	12.9
	"Columbia County, FL"	"12023"	13	70503	Unreliable
	"Duval County, FL"	"12031"	258	950181	27.2
	"Escambia County, FL"	"12033"	55	315534	17.4
	"Flagler County, FL"	"12035"	14	112067	Unreliable
	"Hernando County, FL"	"12053"	23	190865	12.1
	"Highlands County, FL"	"12055"	11	105424	Unreliable
	"Hillsborough County, FL"	"12057"	221	1436888	15.4
	"Indian River County, FL"	"12061"	19	157413	Unreliable
	"Lake County, FL"	"12069"	35	356495	9.8
	"Lee County, FL"	"12071"	203	754610	26.9
	"Leon County, FL"	"12073"	13	292502	Unreliable
	"Manatee County, FL"	"12081"	76	394855	19.2
	"Marion County, FL"	"12083"	98	359977	27.2
	"Martin County, FL"	"12085"	27	160912	16.8
	"Miami-Dade County, FL"	"12086"	185	2761581	6.7
	"Monroe County, FL"	"12087"	17	75027	Unreliable
	"Nassau County, FL"	"12089"	15	85832	Unreliable
	"Okaloosa County, FL"	"12091"	46	207269	22.2
	"Orange County, FL"	"12095"	215	1380645	15.6
	"Osceola County, FL"	"12097"	69	367990	18.8
	"Palm Beach County, FL"	"12099"	337	1485941	22.7
	"Pasco County, FL"	"12101"	73	539630	13.5
	"Pinellas County, FL"	"12103"	158	975280	16.2
	"Polk County, FL"	"12105"	72	708009	10.2
	"Putnam County, FL"	"12107"	10	74163	Unreliable
	"St. Johns County, FL"	"12109"	22	254261	8.7
	"St. Lucie County, FL"	"12111"	29	321128	9.0
	"Santa Rosa County, FL"	"12113"	17	179349	Unreliable
	"Sarasota County, FL"	"12115"	66	426718	15.5
	"Seminole County, FL"	"12117"	78	467832	16.7
	"Sumter County, FL"	"12119"	12	128754	Unreliable
	"Volusia County, FL"	"12127"	120	547538	21.9
	"Barrow County, GA"	"13013"	11	80809	Unreliable
	"Bartow County, GA"	"13015"	15	106408	Unreliable
	"Chatham County, GA"	"13051"	32	289195	11.1
	"Cherokee County, GA"	"13057"	40	254149	15.7
	"Clayton County, GA"	"13063"	14	289615	Unreliable
	"Cobb County, GA"	"13067"	83	756865	11.0
	"Columbia County, GA"	"13073"	16	154291	Unreliable
	"Coweta County, GA"	"13077"	15	145864	Unreliable
	"DeKalb County, GA"	"13089"	58	756558	7.7
	"Douglas County, GA"	"13097"	20	145331	13.8
	"Floyd County, GA"	"13115"	11	97927	Unreliable
	"Forsyth County, GA"	"13117"	16	236612	Unreliable
	"Fulton County, GA"	"13121"	98	1050114	9.3
	"Gwinnett County, GA"	"13135"	76	927781	8.2
	"Hall County, GA"	"13139"	15	202148	Unreliable
	"Henry County, GA"	"13151"	28	230220	12.2
	"Muscogee County, GA"	"13215"	10	194160	Unreliable
	"Paulding County, GA"	"13223"	13	164044	Unreliable
	"Richmond County, GA"	"13245"	38	201554	18.9
	"Walton County, GA"	"13297"	15	93503	Unreliable
	"Hawaii County, HI"	"15001"	14	200983	Unreliable
	"Honolulu County, HI"	"15003"	32	980080	3.3
	"Maui County, HI"	"15009"	14	167207	Unreliable
	"Ada County, ID"	"16001"	50	469966	10.6
	"Canyon County, ID"	"16027"	11	223499	Unreliable
	"Kootenai County, ID"	"16055"	12	161505	Unreliable
	"Boone County, IL"	"17007"	11	53577	Unreliable
	"Champaign County, IL"	"17019"	20	209983	9.5
	"Cook County, IL"	"17031"	1018	5180493	19.7
	"DeKalb County, IL"	"17037"	13	104143	Unreliable
	"DuPage County, IL"	"17043"	138	928589	14.9
	"Grundy County, IL"	"17063"	11	50972	Unreliable
	"Jackson County, IL"	"17077"	14	57419	Unreliable
	"Kane County, IL"	"17089"	63	534216	11.8
	"Kankakee County, IL"	"17091"	24	110024	21.8
	"Kendall County, IL"	"17093"	15	127915	Unreliable
	"Lake County, IL"	"17097"	70	700832	10.0
	"LaSalle County, IL"	"17099"	35	109430	32.0
	"McHenry County, IL"	"17111"	49	308570	15.9
	"McLean County, IL"	"17113"	29	172828	16.8
	"Macon County, IL"	"17115"	15	104712	Unreliable
	"Madison County, IL"	"17119"	94	264461	35.5
	"Peoria County, IL"	"17143"	41	180621	22.7
	"St. Clair County, IL"	"17163"	54	261059	20.7
	"Sangamon County, IL"	"17167"	33	195348	16.9
	"Tazewell County, IL"	"17179"	19	132328	Unreliable
	"Vermilion County, IL"	"17183"	13	76806	Unreliable
	"Will County, IL"	"17197"	118	692310	17.0
	"Winnebago County, IL"	"17201"	129	284081	45.4
	"Allen County, IN"	"18003"	44	375351	11.7
	"Bartholomew County, IN"	"18005"	11	82753	Unreliable
	"Boone County, IN"	"18011"	14	66999	Unreliable
	"Clark County, IN"	"18019"	36	117360	30.7
	"Dearborn County, IN"	"18029"	10	49568	Unreliable
	"Delaware County, IN"	"18035"	12	114772	Unreliable
	"Elkhart County, IN"	"18039"	22	205560	10.7
	"Fayette County, IN"	"18041"	15	23047	Unreliable
	"Floyd County, IN"	"18043"	18	77781	Unreliable
	"Franklin County, IN"	"18047"	10	22736	Unreliable
	"Grant County, IN"	"18053"	10	65936	Unreliable
	"Hamilton County, IN"	"18057"	30	330086	9.1
	"Hancock County, IN"	"18059"	16	76351	Unreliable
	"Hendricks County, IN"	"18063"	17	167009	Unreliable
	"Howard County, IN"	"18067"	15	82366	Unreliable
	"Jackson County, IN"	"18071"	15	44111	Unreliable
	"Johnson County, IN"	"18081"	18	156225	Unreliable
	"Lake County, IN"	"18089"	97	484411	20.0
	"La Porte County, IN"	"18091"	14	110007	Unreliable
	"Madison County, IN"	"18095"	17	129641	Unreliable
	"Marion County, IN"	"18097"	281	954670	29.4
	"Monroe County, IN"	"18105"	17	146917	Unreliable
	"Morgan County, IN"	"18109"	23	70116	32.8
	"Porter County, IN"	"18127"	24	169594	14.2
	"St. Joseph County, IN"	"18141"	47	270771	17.4
	"Tippecanoe County, IN"	"18157"	37	193048	19.2
	"Vanderburgh County, IN"	"18163"	27	180974	14.9
	"Wayne County, IN"	"18177"	36	65936	54.6
	"Linn County, IA"	"19113"	12	225909	Unreliable
	"Polk County, IA"	"19153"	48	487204	9.9
	"Scott County, IA"	"19163"	13	173283	Unreliable
	"Johnson County, KS"	"20091"	37	597555	6.2
	"Reno County, KS"	"20155"	10	62342	Unreliable
	"Sedgwick County, KS"	"20173"	36	513607	7.0
	"Shawnee County, KS"	"20177"	14	177499	Unreliable
	"Boone County, KY"	"21015"	42	131533	31.9
	"Boyd County, KY"	"21019"	27	47240	57.2
	"Bullitt County, KY"	"21029"	24	81069	29.6
	"Campbell County, KY"	"21037"	52	93152	55.8
	"Carter County, KY"	"21043"	12	27004	Unreliable
	"Clark County, KY"	"21049"	16	36249	Unreliable
	"Daviess County, KY"	"21059"	10	101104	Unreliable
	"Fayette County, KY"	"21067"	107	323780	33.0
	"Floyd County, KY"	"21071"	14	35845	Unreliable
	"Franklin County, KY"	"21073"	15	50815	Unreliable
	"Grant County, KY"	"21081"	10	25121	Unreliable
	"Greenup County, KY"	"21089"	13	35268	Unreliable
	"Jefferson County, KY"	"21111"	228	770517	29.6
	"Jessamine County, KY"	"21113"	17	53920	Unreliable
	"Kenton County, KY"	"21117"	83	166051	50.0
	"Madison County, KY"	"21151"	39	92368	42.2
	"Montgomery County, KY"	"21173"	10	28203	Unreliable
	"Pike County, KY"	"21195"	14	58402	Unreliable
	"Pulaski County, KY"	"21199"	11	64623	Unreliable
	"Scott County, KY"	"21209"	14	56031	Unreliable
