Bureau of Justice Statistics,,,,,,,,,,
Filename:  jeeus1203.csv,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2012",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2012, NCJ 248628",,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  2/26/2015,,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2012",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
