"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	29	212628	13.6
	"Blount County, AL"	"01009"	21	58013	36.2
	"Calhoun County, AL"	"01015"	31	114728	27.0
	"Cullman County, AL"	"01043"	20	82755	24.2
	"DeKalb County, AL"	"01049"	26	71617	36.3
	"Elmore County, AL"	"01051"	10	81677	Unreliable
	"Escambia County, AL"	"01053"	17	37447	Unreliable
	"Etowah County, AL"	"01055"	35	102755	34.1
	"Houston County, AL"	"01069"	16	104346	Unreliable
	"Jefferson County, AL"	"01073"	237	659197	36.0
	"Lauderdale County, AL"	"01077"	11	92538	Unreliable
	"Lee County, AL"	"01081"	15	161604	Unreliable
	"Madison County, AL"	"01089"	78	361046	21.6
	"Marshall County, AL"	"01095"	13	95548	Unreliable
	"Mobile County, AL"	"01097"	51	413955	12.3
	"Montgomery County, AL"	"01101"	17	226646	Unreliable
	"Morgan County, AL"	"01103"	21	118818	17.7
	"St. Clair County, AL"	"01115"	28	88199	31.7
	"Shelby County, AL"	"01117"	32	213605	15.0
	"Talladega County, AL"	"01121"	15	80065	Unreliable
	"Tuscaloosa County, AL"	"01125"	37	207811	17.8
	"Walker County, AL"	"01127"	11	64058	Unreliable
	"Anchorage Borough, AK"	"02020"	78	294356	26.5
	"Fairbanks North Star Borough, AK"	"02090"	16	99703	Unreliable
	"Juneau Borough, AK"	"02110"	14	32094	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	13	58617	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	25	106532	23.5
	"Apache County, AZ"	"04001"	11	71606	Unreliable
	"Cochise County, AZ"	"04003"	29	124756	23.2
	"Coconino County, AZ"	"04005"	31	140776	22.0
	"Gila County, AZ"	"04007"	21	53501	39.3
	"Maricopa County, AZ"	"04013"	1102	4307033	25.6
	"Mohave County, AZ"	"04015"	54	207200	26.1
	"Navajo County, AZ"	"04017"	19	108956	Unreliable
	"Pima County, AZ"	"04019"	253	1022769	24.7
	"Pinal County, AZ"	"04021"	66	430237	15.3
	"Yavapai County, AZ"	"04025"	58	228168	25.4
	"Yuma County, AZ"	"04027"	31	207534	14.9
	"Baxter County, AR"	"05005"	11	41355	Unreliable
	"Benton County, AR"	"05007"	33	266300	12.4
	"Craighead County, AR"	"05031"	15	107115	Unreliable
	"Crawford County, AR"	"05033"	12	62996	Unreliable
	"Crittenden County, AR"	"05035"	14	48750	Unreliable
	"Faulkner County, AR"	"05045"	17	123654	Unreliable
	"Garland County, AR"	"05051"	36	98658	36.5
	"Hot Spring County, AR"	"05059"	11	33574	Unreliable
	"Jefferson County, AR"	"05069"	16	69115	Unreliable
	"Lonoke County, AR"	"05085"	11	72898	Unreliable
	"Pulaski County, AR"	"05119"	82	393956	20.8
	"Saline County, AR"	"05125"	32	119323	26.8
	"Sebastian County, AR"	"05131"	17	128107	Unreliable
	"Washington County, AR"	"05143"	20	231996	8.6
	"White County, AR"	"05145"	13	79016	Unreliable
	"Alameda County, CA"	"06001"	153	1663190	9.2
	"Butte County, CA"	"06007"	49	229294	21.4
	"Calaveras County, CA"	"06009"	11	45670	Unreliable
	"Contra Costa County, CA"	"06013"	136	1147439	11.9
	"El Dorado County, CA"	"06017"	32	188987	16.9
	"Fresno County, CA"	"06019"	129	989255	13.0
	"Humboldt County, CA"	"06023"	58	136754	42.4
	"Imperial County, CA"	"06025"	33	182830	18.0
	"Kern County, CA"	"06029"	263	893119	29.4
	"Kings County, CA"	"06031"	18	150101	Unreliable
	"Lake County, CA"	"06033"	44	64246	68.5
	"Los Angeles County, CA"	"06037"	1139	10163507	11.2
	"Madera County, CA"	"06039"	25	156890	15.9
	"Marin County, CA"	"06041"	41	260955	15.7
	"Mendocino County, CA"	"06045"	29	88018	32.9
	"Merced County, CA"	"06047"	37	272673	13.6
	"Monterey County, CA"	"06053"	44	437907	10.0
	"Napa County, CA"	"06055"	14	140973	Unreliable
	"Nevada County, CA"	"06057"	22	99814	22.0
	"Orange County, CA"	"06059"	419	3190400	13.1
	"Placer County, CA"	"06061"	46	386166	11.9
	"Riverside County, CA"	"06065"	470	2423266	19.4
	"Sacramento County, CA"	"06067"	234	1530615	15.3
