"Statistics for community hospital stays 2014 Michigan, by county or county equivalent",,,,,,
,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs | State: Michigan | Community Level: County",,,,,,
,,,,,,
"2014 State Total, Michigan",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,119342.6174,1207.597695,10441.47481,1246112933,126.0910092
Age group,<1,1680.191207,1450.115829,20411.50024,34295223.22,295.9903959
,17-Jan,1149.516614,54.20621994,9635.590379,11076271.23,5.223089314
,18-44,42411.26783,1252.720556,7896.896872,334917408.3,98.92605043
,45-64,55407.53902,2002.751385,11306.27342,626452785.7,226.4365475
,65-84,18691.10273,1251.043494,12805.14908,239342356.9,160.1979845
,Missing,*,†,*,*,†
Sex,Male,72592.03985,1496.307155,11153.98883,809690801.4,166.8979329
,Female,46748.57755,929.1672292,9330.214546,436174258.3,86.69329598
,Missing,*,†,*,*,†
Payer,Medicare,40807.17625,†,11124.49163,453959090.4,†
,Medicaid,40404.44979,†,10258.87904,414504363.2,†
,Private insurance,27590.13047,†,10884.03886,300292052.1,†
,Uninsured,5621.960152,†,8126.047832,45684317.11,†
,Other,4834.758858,†,6406.470195,30973738.52,†
,Missing,84.14188416,†,8311.816345,699371.8881,†
Type of stay,Neonatal/maternal,5917.466263,53.28554427,9274.958771,54884255.61,†
,Nonneonatal/nonmaternal,113425.1511,1021.369729,10502.33273,1191228678,†
Type of substance or substance-related condition,Alcohol,66265.21855,670.52095,10962.66345,726443289.4,73.50695511
,Cannabis,29359.00529,297.0763328,8735.907957,256477568,25.952315
,Drug-induced mental disorders,7403.820627,74.91738425,12257.07715,90749200.63,9.182681587
,Hallucinogens,567.6844823,5.744255384,7638.23945,4336110.008,0.438759981
,Opioids,23384.56137,236.6224492,9566.286114,223703404.7,22.6359805
,Other drug abuse,12916.03114,130.6940453,9255.691248,119546796.4,12.09663731
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",8069.956333,81.65784261,7438.053978,60024770.8,6.073754411
