"Statistics for community hospital stays 2014 Indiana, by county or county equivalent",,,,,,
,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs | State: Indiana | Community Level: County",,,,,,
,,,,,,
"2014 State Total, Indiana",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,64064.03347,975.521279,10311.27751,660570415.6,100.5869381
Age group,<1,1083.381475,1263.300771,27233.13386,29503872.72,344.0363898
,17-Jan,1326.929168,88.56473869,5415.928056,7186552.911,4.796602531
,18-44,25642.90611,1104.382278,7522.559066,192900275.9,83.07780915
,45-64,27037.83725,1559.029153,11492.98164,310745367,179.1789342
,65-84,8965.853341,967.2476081,13409.58978,120213314.4,129.6876453
,Missing,*,†,*,*,†
Sex,Male,38432.75395,1188.325927,11132.49447,427852420.8,132.2903181
,Female,25630.27952,768.9931287,9080.170131,232717073.1,69.82281642
,Missing,*,†,*,*,†
Payer,Medicare,18446.6628,†,11540.25054,212866114.5,†
,Medicaid,16296.13144,†,10771.14304,175527962.7,†
,Private insurance,13850.35035,†,10817.75014,149829629.4,†
,Uninsured,10442.61863,†,7446.072348,77756493.83,†
,Other,4998.270253,†,8800.256261,43986059.09,†
,Missing,30,†,20138.53765,604156.1295,†
Type of stay,Neonatal/maternal,3571.76264,44.74491249,11527.61862,41173917.5,†
,Nonneonatal/nonmaternal,60492.27083,757.8110972,10239.45738,619396498.1,†
Type of substance or substance-related condition,Alcohol,35155.73634,535.3264074,11056.02236,388682607,59.18580729
,Cannabis,11893.49661,181.1056593,7700.474435,91585566.55,13.945995
,Drug-induced mental disorders,5568.714688,84.79640417,10497.84846,58447700.99,8.899997851
,Hallucinogens,326.1121394,4.965802403,7675.061491,2502930.723,0.381128388
,Opioids,12484.22504,190.1008493,9829.103406,122708738.8,18.68520906
,Other drug abuse,9834.685893,149.7555624,8612.375512,84700007.96,12.89751138
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",4740.581859,72.18618979,6976.166057,33071086.26,5.03582847
,Stimulants,6173.14156,94.00018425,9271.951465,57237068.93,8.715651461
