"Statistics for community hospital stays 2014 Minnesota, by county or county equivalent",,,,,,
,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs | State: Minnesota | Community Level: County",,,,,,
,,,,,,
"2014 State Total, Minnesota",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,65433.24491,1206.156103,12086.48806,790858133.3,145.7819134
Age group,<1,687.4811188,974.9016121,36781.63994,25286682.98,358.5848008
,17-Jan,2374.046283,196.1937407,9143.575816,21707272.18,17.93912343
,18-44,28156.27424,1474.217634,9573.836331,269563561.2,141.1391834
,45-64,25540.17496,1734.252125,13301.25194,339716301.7,230.6772444
,65-84,8674.268309,1138.705102,15514.80564,134579586.9,176.6678835
,Missing,*,†,*,*,†
Sex,Male,38604.34517,1432.475658,12674.89568,489306048,181.5647953
,Female,26827.89974,982.7065902,11240.01123,301545894.3,110.4563311
,Missing,*,†,*,*,†
Payer,Medicare,18518.19632,†,13714.11853,253960739.2,†
,Medicaid,22350.19893,†,11323.43592,253081045.4,†
,Private insurance,20718.92368,†,11825.30147,245007518.7,†
,Uninsured,1854.699276,†,7982.89111,14805862.36,†
,Other,1771.805494,†,12090.58204,21422159.68,†
,Missing,219.4212108,†,11761.88913,2580807.954,†
Type of stay,Neonatal/maternal,2811.400837,41.8077036,13994.81284,39345028.52,†
,Nonneonatal/nonmaternal,62621.84407,931.2352269,12000.81403,751513104.8,†
Type of substance or substance-related condition,Alcohol,40406.06824,744.8205555,12157.76597,491247521.5,90.55354004
,Cannabis,12578.84446,231.8706651,9787.409622,123114303.3,22.69413179
,Drug-induced mental disorders,6816.329945,125.6480246,13326.99884,90841221.27,16.74511078
,Hallucinogens,329,6.064583203,9595.830733,3157028.311,0.581947139
,Opioids,11896.40215,219.2909442,12615.30206,150076706.6,27.66421501
,Other drug abuse,7592.434896,139.9542649,10367.90141,78717616.44,14.5103202
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",4742.739788,87.42474181,9578.419774,45427952.57,8.373908757
