"Statistics for community hospital stays 2014 Arkansas, by county or county equivalent",,,,,,
,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2014 | Categorization Type: Stays for Alcohol and Other Drugs | Outcome and Measures: Number, Costs | State: Arkansas | Community Level: County",,,,,,
,,,,,,
"2014 State Total, Arkansas",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,26116.54058,880.4084053,8185.237532,213761692.8,72.06068909
Age group,<1,306.5453112,780.8877909,55724.23912,17082004.22,435.1437798
,17-Jan,319.3466171,47.59824437,17763.75976,5672796.587,8.45523778
,18-44,11357.12775,1097.283705,5375.854011,61054260.75,58.98837006
,45-64,10688.44352,1405.545615,8740.950116,93418186.3,122.8462516
,65-84,3444.07739,747.4694019,10606.25624,36528767.3,79.27852007
,Missing,*,†,*,*,†
Sex,Male,15224.44861,1044.056931,8895.84224,135425168.9,92.87140037
,Female,10891.09197,722.1199135,7192.570646,78334948.41,51.93898493
,Missing,*,†,*,*,†
Payer,Medicare,6992.473291,†,8826.211599,61717048.87,†
,Medicaid,8200.303409,†,8383.409768,68746503.7,†
,Private insurance,6669.620032,†,7967.614982,53140964.49,†
,Uninsured,2237.939856,†,6176.956078,13817320.69,†
,Other,1001.577826,†,9957.42334,9973134.421,†
,Missing,1014.62617,†,6274.942296,6366720.671,†
Type of stay,Neonatal/maternal,1232.334793,33.58867217,13798.59969,17004494.5,†
,Nonneonatal/nonmaternal,24884.20579,678.2470438,7907.236831,196757198.3,†
Type of substance or substance-related condition,Alcohol,12663.80298,426.9064103,8533.709666,108069217.9,36.4309536
,Cannabis,4657.832909,157.0190826,5937.306871,27648893.63,9.320651894
,Drug-induced mental disorders,2690.971183,90.71468101,9823.083614,26433634.93,8.910978965
,Hallucinogens,130.6418356,4.404035434,4608.116595,602012.8106,0.202943088
,Opioids,3651.398661,123.0914202,8395.968712,30657028.91,10.33471713
,Other drug abuse,4460.2968,150.3599904,7489.642127,33406026.81,11.26142519
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",2907.332417,98.00838241,5449.58474,15843754.37,5.341049852
