region,county.name,state.name,death_cost,death_cost_pc,health_cost,health_cost_pc,criminal_cost,criminal_cost_pc,productivity_cost,productivity_cost_pc,total_population,nonfatal_cost,total_cost,per_capita_nf_cost,per_capita_total_cost
1001,autauga,alabama,57991783.605488926,1053.7063668415024,2061125.4335107612,37.45049483085183,1186085.154563248,21.551078467970928,4297456.243397341,78.08445823456177,55036,7544666.83147135,65536450.43696028,137.0860315333845,1190.792398374887
1003,baldwin,alabama,112259586.0245174,552.023928130003,6450898.911995859,31.721572147894666,4509554.531496529,22.175228813417235,15485723.493581306,76.14930907543915,203360,26446176.937073693,138705762.9615911,130.04611003675106,682.070038166754
1005,barbour,alabama,48013317.910435475,1832.4994431676453,986211.5114768053,37.640224093614954,581013.1701403451,22.17522881341724,1228451.01441754,46.88565376960956,26201,2795675.6960346904,50808993.60647017,106.70110667664174,1939.2005498442873
1007,bibb,alabama,33757945.1597478,1495.0374295725333,851688.0854641187,37.718692890350695,533516.8396024476,23.627849406662868,1575798.491784714,69.787355703486,22580,2961003.4168512803,36718948.576599084,131.13389800049956,1626.1713275730328
1009,blount,alabama,64883386.50864227,1125.138927092484,2141494.646871987,37.13553066523292,1362547.1917340278,23.62784940666287,4079391.8055949653,70.74048945835513,57667,7583433.644200981,72466820.15284325,131.50386953025094,1256.642796622735
1011,bullock,alabama,23617785.65902854,2254.0356612930464,396394.09750212054,37.831083937976764,225812.2001873994,21.551078467970928,424230.6793040403,40.487753321630116,10478,1046436.9769935603,24664222.636022102,99.86991572757782,2353.905577020624
1013,butler,alabama,32978954.773564085,1638.6244049271631,758766.2520919854,37.70079757984624,446298.65509883536,22.175228813417238,984878.6581545703,48.93563838589736,20126,2189943.5653453907,35168898.33890948,108.81166477916082,1747.436069706324
1015,calhoun,alabama,79237846.9697406,685.8816291407255,3677383.276119957,31.831375142780104,2729654.5584035413,23.627849406662868,7476794.94724051,64.7190262643409,115527,13883832.781764008,93121679.7515046,120.17825081378386,806.0598799545094
1017,chambers,alabama,49184131.07335942,1451.0733463153688,1273140.7928560171,37.56131561752522,730473.8046718747,21.55107846797093,1739512.6967276684,51.3206283147269,33895,3743127.2942555603,52927258.367614985,110.43302240022305,1561.5063687155919
1019,cherokee,alabama,35516348.62502394,1373.6742844720147,971857.3194237374,37.58875727804051,530211.6053221929,20.50712068544548,1343111.0674537146,51.94782701426086,25855,2845179.992199645,38361528.61722358,110.04370497774686,1483.7179894497615
