region,county.name,state.name,death_cost,death_cost_pc,health_cost,health_cost_pc,criminal_cost,criminal_cost_pc,productivity_cost,productivity_cost_pc,total_population,nonfatal_cost,total_cost,per_capita_nf_cost,per_capita_total_cost
1001,autauga,alabama,57680924.544610575,1044.5469032543883,2102526.947073313,38.07477132020994,1217479.8786577212,22.04740730261533,4545295.917701066,82.31100338097944,55221,7865302.7434321,65546227.28804267,142.43318200380472,1186.980085258193
1003,baldwin,alabama,133918082.07149921,686.3335164923263,6866276.626705522,35.1898392623322,4426501.74707078,22.68593204765648,17076524.50056278,87.51761471375598,195121,28369302.87433908,162287384.9458383,145.39338602374465,831.726902516071
1005,barbour,alabama,39572835.957877904,1469.3612044362803,1024615.195098846,38.04452677479749,610977.5219074844,22.685932047656483,1417428.7042033204,52.6299088149161,26932,3053021.421209651,42625857.37908755,113.36036763737008,1582.7215720736503
1007,bibb,alabama,31185875.516194776,1379.6618083611208,861146.3818270848,38.097079358834044,546384.0461946587,24.172006998524985,1690401.4737047139,74.78328940473871,22604,3097931.9017264573,34283807.41792123,137.05237576209774,1516.7141841232185
1009,blount,alabama,75977932.19537011,1316.547083614107,2582458.5611419035,44.74889206622602,1394966.523884877,24.17200699852499,4475987.031969794,77.55999015716156,57710,8453412.116996575,84431344.31236668,146.48088922191258,1463.0279728360194
1011,bullock,alabama,16621722.96084881,1556.6326054362999,405085.42608587735,37.93645121613386,235422.21517732664,22.047407302615344,582977.4444242563,54.59612702980486,10678,1223485.0856874604,17845208.04653627,114.57998554855408,1671.212590984854
1013,butler,alabama,28485674.042626053,1399.512333822642,773878.1417024566,38.020936508915035,461749.460898,22.68593204765648,1093035.3886174515,53.70125717880768,20354,2328662.9912179084,30814337.03384396,114.40812573537922,1513.920459558021
1015,calhoun,alabama,60811814.81814863,521.3275394190096,3795128.5992608927,32.53487928863669,2819616.272363942,24.17200699852498,8032871.874183736,68.864205765926,116648,14647616.745808572,75459431.5639572,125.57109205308768,646.8986314720972
1017,chambers,alabama,44407577.522647336,1303.077482398173,1296163.7147617256,38.03408887472419,751353.5934658283,22.047407302615344,2022845.420503261,59.35753456683767,34079,4070362.728730815,48477940.25137815,119.4390307441772,1422.51651314235
1019,cherokee,alabama,36136639.90035542,1389.4432444000086,987231.4163690178,37.95875947281674,545632.4122928916,20.979406809169934,1549236.8932387806,59.5677058304668,26008,3082100.72190069,39218740.62225611,118.50587211245347,1507.9491165124618
1021,chilton,alabama,59787804.974287935,1364.4265038975773,1671825.267866496,38.15297628577777,1059193.1746683663,24.172006998524985,3213087.389563538,73.32635134447473,43819,5944105.8320984,65731910.80638634,135.65133462877748,1500.0778385263548
